series_ticker,event_ticker,movie_title,market_ticker,sub_title,yes_bid,yes_ask,last_price,volume,open_interest,close_time
KXRTICKET,KXRTICKET-28NOV07,Icket,KXRTICKET-28NOV07-MRUBGYOU,Marco Rubio and Glenn Youngkin,0.0300,0.0390,0.0400,200.00,200.00,2028-11-07T15:00:00Z
KXRTICKET,KXRTICKET-28NOV07,Icket,KXRTICKET-28NOV07-MRUBSSAN,Marco Rubio and Sarah Huckabee Sanders,0.0200,0.0290,0.0300,201.00,201.00,2028-11-07T15:00:00Z
KXRTICKET,KXRTICKET-28NOV07,Icket,KXRTICKET-28NOV07-MRUBEKIR,Marco Rubio and Erika Kirk,0.0100,0.0250,0.0250,203.00,202.00,2028-11-07T15:00:00Z
KXRTICKET,KXRTICKET-28NOV07,Icket,KXRTICKET-28NOV07-MRUBDJT,Marco Rubio and Donald Trump,0.0100,0.0290,0.0300,200.00,200.00,2028-11-07T15:00:00Z
KXRTICKET,KXRTICKET-28NOV07,Icket,KXRTICKET-28NOV07-MRUBBDON,Marco Rubio and Byron Donalds,0.0200,0.0290,0.0300,201.00,201.00,2028-11-07T15:00:00Z
KXRTICKET,KXRTICKET-28NOV07,Icket,KXRTICKET-28NOV07-RDESJVAN,Ron DeSantis and JD Vance,0.0300,0.0390,0.0400,451.38,451.38,2028-11-07T15:00:00Z
KXRTICKET,KXRTICKET-28NOV07,Icket,KXRTICKET-28NOV07-TCARMRUB,Tucker Carlson and Marco Rubio,0.0010,0.0280,0.0280,522.92,522.92,2028-11-07T15:00:00Z
KXRTICKET,KXRTICKET-28NOV07,Icket,KXRTICKET-28NOV07-GYOUMRUB,Glenn Youngkin and Marco Rubio,0.0300,0.0420,0.0300,10.00,10.00,2028-11-07T15:00:00Z
KXRTICKET,KXRTICKET-28NOV07,Icket,KXRTICKET-28NOV07-RDESMRUB,Ron DeSantis and Marco Rubio,0.0310,0.0430,0.0440,109.00,109.00,2028-11-07T15:00:00Z
KXRTICKET,KXRTICKET-28NOV07,Icket,KXRTICKET-28NOV07-JVANSSAN,JD Vance and Sarah Huckabee Sanders,0.0300,0.0450,0.0490,2060.30,1108.15,2028-11-07T15:00:00Z
KXRTICKET,KXRTICKET-28NOV07,Icket,KXRTICKET-28NOV07-JVANDTJR,JD Vance and Donald Trump Jr.,0.0020,0.0290,0.0300,150.00,150.00,2028-11-07T15:00:00Z
KXRTICKET,KXRTICKET-28NOV07,Icket,KXRTICKET-28NOV07-DJTMRUB,Donald Trump and Marco Rubio,0.0020,0.0290,0.0300,100.00,100.00,2028-11-07T15:00:00Z
KXRTICKET,KXRTICKET-28NOV07,Icket,KXRTICKET-28NOV07-TMASMRUB,Thomas Massie and Marco Rubio,0.0020,0.0290,0.0300,201.00,201.00,2028-11-07T15:00:00Z
KXRTICKET,KXRTICKET-28NOV07,Icket,KXRTICKET-28NOV07-DTJRMRUB,Donald Trump Jr. and Marco Rubio,0.0300,0.0390,0.0400,712.76,712.76,2028-11-07T15:00:00Z
KXRTICKET,KXRTICKET-28NOV07,Icket,KXRTICKET-28NOV07-JVANGYOU,JD Vance and Glenn Youngkin,0.0140,0.0290,0.0140,4730.00,2390.00,2028-11-07T15:00:00Z
KXRTICKET,KXRTICKET-28NOV07,Icket,KXRTICKET-28NOV07-TCARJVAN,Tucker Carlson and JD Vance,0.0090,0.0660,0.0580,853.95,853.95,2028-11-07T15:00:00Z
KXRTICKET,KXRTICKET-28NOV07,Icket,KXRTICKET-28NOV07-MRUBESTE,Marco Rubio and Elise Stefanik,0.0310,0.0410,0.0450,115.23,115.23,2028-11-07T15:00:00Z
KXRTICKET,KXRTICKET-28NOV07,Icket,KXRTICKET-28NOV07-JVANDJT,JD Vance and Donald Trump,0.0300,0.0390,0.0400,173.30,168.16,2028-11-07T15:00:00Z
KXRTICKET,KXRTICKET-28NOV07,Icket,KXRTICKET-28NOV07-MRUBJVAN,Marco Rubio and JD Vance,0.1000,0.1300,0.1000,1106.08,766.25,2028-11-07T15:00:00Z
KXRTICKET,KXRTICKET-28NOV07,Icket,KXRTICKET-28NOV07-MRUBDTJR,Marco Rubio and Donald Trump Jr.,0.0100,0.0250,0.0300,200.00,200.00,2028-11-07T15:00:00Z
KXRTICKET,KXRTICKET-28NOV07,Icket,KXRTICKET-28NOV07-JVANBDON,JD Vance and Byron Donalds,0.0100,0.0270,0.0300,150.00,150.00,2028-11-07T15:00:00Z
KXRTICKET,KXRTICKET-28NOV07,Icket,KXRTICKET-28NOV07-JVANMRUB,JD Vance and Marco Rubio,0.2300,0.2800,0.2800,3624.52,2567.36,2028-11-07T15:00:00Z
KXRTICKET,KXRTICKET-28NOV07,Icket,KXRTICKET-28NOV07-JVANEKIR,JD Vance and Erika Kirk,0.0310,0.0400,0.0400,834.22,834.22,2028-11-07T15:00:00Z
KXRTICKET,KXRTICKET-28NOV07,Icket,KXRTICKET-28NOV07-JVANESTE,JD Vance and Elise Stefanik,0.0140,0.0270,0.0140,10647.00,4524.00,2028-11-07T15:00:00Z
KXRTICKET,KXRTICKET-28NOV07,Icket,KXRTICKET-28NOV07-TCAREKIR,Tucker Carlson and Erika Kirk,0.0020,0.0200,0.0300,200.00,200.00,2028-11-07T15:00:00Z
KXMCGREGORFIGHTNEXT,KXMCGREGORFIGHTNEXT-28,Gregorfightnext,KXMCGREGORFIGHTNEXT-28-TWOO,Tyron Woodley,0.0000,0.0600,0.0600,340.07,212.31,2028-01-01T04:59:00Z
KXMCGREGORFIGHTNEXT,KXMCGREGORFIGHTNEXT-28,Gregorfightnext,KXMCGREGORFIGHTNEXT-28-TFER,Tony Ferguson,0.0000,0.0500,0.0200,464.35,236.02,2028-01-01T04:59:00Z
KXMCGREGORFIGHTNEXT,KXMCGREGORFIGHTNEXT-28,Gregorfightnext,KXMCGREGORFIGHTNEXT-28-MPER,Mike Perry,0.0200,0.0700,0.0700,1370.16,1086.16,2028-01-01T04:59:00Z
KXMCGREGORFIGHTNEXT,KXMCGREGORFIGHTNEXT-28,Gregorfightnext,KXMCGREGORFIGHTNEXT-28-JSTE,Jeremy Stephens,0.0000,0.0500,0.1100,714.00,391.00,2028-01-01T04:59:00Z
KXMCGREGORFIGHTNEXT,KXMCGREGORFIGHTNEXT-28,Gregorfightnext,KXMCGREGORFIGHTNEXT-28-EALV,Eddie Alvarez,0.0000,0.0300,0.0300,25.00,24.00,2028-01-01T04:59:00Z
KXMCGREGORFIGHTNEXT,KXMCGREGORFIGHTNEXT-28,Gregorfightnext,KXMCGREGORFIGHTNEXT-28-GSTP,Georges St-Pierre,0.0000,0.0300,0.0100,7.00,7.00,2028-01-01T04:59:00Z
KXMCGREGORFIGHTNEXT,KXMCGREGORFIGHTNEXT-28,Gregorfightnext,KXMCGREGORFIGHTNEXT-28-FMAY,Floyd Mayweather Jr.,0.0000,0.0300,0.0100,7.00,7.00,2028-01-01T04:59:00Z
KXMCGREGORFIGHTNEXT,KXMCGREGORFIGHTNEXT-28,Gregorfightnext,KXMCGREGORFIGHTNEXT-28-KNUR,Khabib Nurmagomedov,0.0000,0.0500,0.0200,41.87,23.87,2028-01-01T04:59:00Z
KXMCGREGORFIGHTNEXT,KXMCGREGORFIGHTNEXT-28,Gregorfightnext,KXMCGREGORFIGHTNEXT-28-MHOL,Max Holloway,0.8700,0.8900,0.8400,37654.11,18303.41,2028-01-01T04:59:00Z
KXMCGREGORFIGHTNEXT,KXMCGREGORFIGHTNEXT-28,Gregorfightnext,KXMCGREGORFIGHTNEXT-28-JMAS,Jorge Masvidal,0.0000,0.0300,0.0300,8880.07,2925.62,2028-01-01T04:59:00Z
KXMCGREGORFIGHTNEXT,KXMCGREGORFIGHTNEXT-28,Gregorfightnext,KXMCGREGORFIGHTNEXT-28-NDIA,Nate Diaz,0.0000,0.0400,0.0200,3206.83,1325.64,2028-01-01T04:59:00Z
KXMCGREGORFIGHTNEXT,KXMCGREGORFIGHTNEXT-28,Gregorfightnext,KXMCGREGORFIGHTNEXT-28-MCHA,Michael Chandler,0.0100,0.0300,0.0100,11413.89,3042.54,2028-01-01T04:59:00Z
KXMCGREGORFIGHTNEXT,KXMCGREGORFIGHTNEXT-28,Gregorfightnext,KXMCGREGORFIGHTNEXT-28-JGAE,Justin Gaethje,0.0000,0.0400,0.0400,9149.49,2987.78,2028-01-01T04:59:00Z
KXMCGREGORFIGHTNEXT,KXMCGREGORFIGHTNEXT-28,Gregorfightnext,KXMCGREGORFIGHTNEXT-28-CPRA,Carlos Prates,0.0000,0.0200,0.0300,764.79,701.00,2028-01-01T04:59:00Z
